ICD_CODE	ICD_NAME	IS_CURRENT_ICD	IP_USAGE	SNOMED_CID	SNOMED_FSN
99.04	Transfusion of packed cells	1	6.574725	288170000	Packed blood cell transfusion (procedure)
39.95	Hemodialysis	1	2.883691	302497006	Hemodialysis (procedure)
88.56	Coronary arteriography using two catheters	1	2.391407	49673009	Coronary arteriography using two catheters (procedure)
37.22	Left heart cardiac catheterization	1	2.274478	67629009	Catheterization of left heart (procedure)
88.72	Diagnostic ultrasound of heart	1	1.996352	40701008	Echocardiography (procedure)
88.53	Angiocardiography of left heart structures	1	1.980496	53683005	Angiocardiography of left heart (procedure)
96.04	Insertion of endotracheal tube	1	1.842742	112798008	Insertion of endotracheal tube (procedure)
45.16	Esophagogastroduodenoscopy [EGD] with closed biopsy	1	1.561457	445982009	Endoscopy and biopsy of upper gastrointestinal tract (procedure)
81.54	Total knee replacement	1	1.517818	19063003	Arthroplasty of knee (procedure)
00.66	Percutaneous transluminal coronary angioplasty [PTCA]	1	1.305609	11101003	Percutaneous transluminal coronary angioplasty (procedure)
93.90	CPAP	1	1.211218	47545007	Continuous positive airway pressure ventilation treatment (regime/therapy)
34.91	Thoracentesis	1	0.846263	91602002	Thoracentesis (procedure)
38.95	Venous catheterization for renal dialysis	1	0.729227	69380006	Venous catheterization for renal dialysis (procedure)
81.51	Total hip replacement	1	0.680376	52734007	Total replacement of hip (procedure)
99.21	Injection of antibiotic	1	0.67706	68322007	Administration of antibiotic (procedure)
45.23	Colonoscopy	1	0.655218	73761001	Colonoscopy (procedure)
57.94	Insertion of indwelling urinary catheter	1	0.585404	266765001	Indwelling catheter inserted (situation)
93.83	Occupational therapy	1	0.562299	84478008	Occupational therapy (regime/therapy)
87.03	Computerized axial tomography of head	1	0.546657	408754009	Computed tomography of entire head (procedure)
54.91	Percutaneous abdominal drainage	1	0.538202	89305009	Abdominal paracentesis (procedure)
99.05	Transfusion of platelets	1	0.530867	12719002	Platelet transfusion (procedure)
